2026-03-26 19:08:51 | INFO | CI | shell=powershell
2026-03-26 19:08:51 | INFO | CI | cwd=notebooks
2026-03-26 19:08:51 | INFO | CI | github_actions=False
2026-03-26 19:08:51 | INFO | CI | ROOT_PATH = .
2026-03-26 19:08:51 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-26 19:08:51 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-26 19:08:51 | INFO | CI | Logger configured.
2026-03-26 19:12:58 | INFO | CI | === RUN START ===
2026-03-26 19:12:58 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-26 19:12:58 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-26 19:12:58 | INFO | CI | python=3.14.0
2026-03-26 19:12:58 | INFO | CI | os=Windows 11
2026-03-26 19:12:58 | INFO | CI | shell=powershell
2026-03-26 19:12:58 | INFO | CI | cwd=notebooks
2026-03-26 19:12:58 | INFO | CI | github_actions=False
2026-03-26 19:12:58 | INFO | CI | ROOT_PATH = .
2026-03-26 19:12:58 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-26 19:12:58 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-26 19:12:58 | INFO | CI | Logger configured.
2026-03-26 19:18:35 | INFO | CI | === RUN START ===
2026-03-26 19:18:35 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-26 19:18:35 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-26 19:18:35 | INFO | CI | python=3.14.0
2026-03-26 19:18:35 | INFO | CI | os=Windows 11
2026-03-26 19:18:35 | INFO | CI | shell=powershell
2026-03-26 19:18:35 | INFO | CI | cwd=notebooks
2026-03-26 19:18:35 | INFO | CI | github_actions=False
2026-03-26 19:18:35 | INFO | CI | ROOT_PATH = .
2026-03-26 19:18:35 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-26 19:18:35 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-26 19:18:35 | INFO | CI | Logger configured.
2026-03-26 19:18:35 | INFO | CI | ========================
2026-03-26 19:18:35 | INFO | CI | Notebook executed successfully!
2026-03-26 19:18:35 | INFO | CI | ========================
